"filename", "language", "Dart", "CMake", "YAML", "C++", "Swift", "JSON", "HTML", "Markdown", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"e:\MyProjects\darlink\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 27, 74
"e:\MyProjects\darlink\analysis_options.yaml", "YAML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 34
"e:\MyProjects\darlink\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 6, 8, 50
"e:\MyProjects\darlink\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"e:\MyProjects\darlink\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 11, 1, 48
"e:\MyProjects\darlink\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\MyProjects\darlink\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"e:\MyProjects\darlink\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\MyProjects\darlink\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"e:\MyProjects\darlink\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"e:\MyProjects\darlink\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"e:\MyProjects\darlink\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"e:\MyProjects\darlink\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\MyProjects\darlink\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"e:\MyProjects\darlink\assets\lottie\birds.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MyProjects\darlink\assets\lottie\building.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MyProjects\darlink\assets\lottie\event_search.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MyProjects\darlink\assets\lottie\logo.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MyProjects\darlink\devtools_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
